Gene Symbol	UCSC ID	UniGene ID	UniProt Accession	UniProt Entry Name	UniProt Info	UniProt Protein Name	UniSTS ID	
PYYM_0000600	-	-	-	-	-	-	-	
PYYM_0000700	-	-	-	-	-	-	-	
PYYM_0000800	-	-	-	-	-	-	-	
PYYM_0000900	-	-	-	-	-	-	-	
PYYM_0001000	-	-	-	-	-	-	-	
PYYM_0001100	-	-	-	-	-	-	-	
PYYM_0001200	-	-	-	-	-	-	-	
PYYM_0001300	-	-	-	-	-	-	-	
PYYM_0001400	-	-	-	-	-	-	-	
PYYM_0001500	-	-	-	-	-	-	-	
PYYM_0001600	-	-	-	-	-	-	-	
PYYM_0001700	-	-	-	-	-	-	-	
PYYM_0001800	-	-	-	-	-	-	-	
PYYM_0001900	-	-	-	-	-	-	-	
PYYM_0002000	-	-	-	-	-	-	-	
PYYM_0002100	-	-	-	-	-	-	-	
PYYM_0002200	-	-	-	-	-	-	-	
PYYM_0002300	-	-	-	-	-	-	-	
PYYM_0002400	-	-	-	-	-	-	-	
PYYM_0002500	-	-	-	-	-	-	-	
PYYM_0002600	-	-	-	-	-	-	-	
PYYM_0002700	-	-	-	-	-	-	-	
PYYM_0002800	-	-	-	-	-	-	-	
PYYM_0002900	-	-	-	-	-	-	-	
PYYM_0003000	-	-	-	-	-	-	-	
PYYM_0003100	-	-	-	-	-	-	-	
PYYM_0003400	-	-	-	-	-	-	-	
PYYM_0003500	-	-	-	-	-	-	-	
PYYM_0003600	-	-	-	-	-	-	-	
PYYM_0003700	-	-	-	-	-	-	-	
PYYM_0003800	-	-	-	-	-	-	-	
PYYM_0003900	-	-	-	-	-	-	-	
PYYM_0004000	-	-	-	-	-	-	-	
PYYM_0004100	-	-	-	-	-	-	-	
PYYM_0004200	-	-	-	-	-	-	-	
PYYM_0004300	-	-	-	-	-	-	-	
PYYM_0004400	-	-	-	-	-	-	-	
PYYM_0004500	-	-	-	-	-	-	-	
PYYM_0004600	-	-	-	-	-	-	-	
PYYM_0004700	-	-	-	-	-	-	-	
PYYM_0004800	-	-	-	-	-	-	-	
PYYM_0004900	-	-	-	-	-	-	-	
PYYM_0005000	-	-	-	-	-	-	-	
PYYM_0005100	-	-	-	-	-	-	-	
PYYM_0005200	-	-	-	-	-	-	-	
PYYM_0005300	-	-	-	-	-	-	-	
PYYM_0005400	-	-	-	-	-	-	-	
PYYM_0005600	-	-	-	-	-	-	-	
PYYM_0005800	-	-	-	-	-	-	-	
PYYM_0005900	-	-	-	-	-	-	-	
PYYM_0006000	-	-	-	-	-	-	-	
PYYM_0006100	-	-	-	-	-	-	-	
PYYM_0006300	-	-	-	-	-	-	-	
PYYM_0006400	-	-	-	-	-	-	-	
PYYM_0006500	-	-	-	-	-	-	-	
PYYM_0006600	-	-	-	-	-	-	-	
PYYM_0006800	-	-	-	-	-	-	-	
PYYM_0006900	-	-	-	-	-	-	-	
PYYM_0007000	-	-	-	-	-	-	-	
PYYM_0007100	-	-	-	-	-	-	-	
PYYM_0007200	-	-	-	-	-	-	-	
PYYM_0007300	-	-	-	-	-	-	-	
PYYM_0007400	-	-	-	-	-	-	-	
PYYM_0007500	-	-	-	-	-	-	-	
PYYM_0007600	-	-	-	-	-	-	-	
PYYM_0007700	-	-	-	-	-	-	-	
PYYM_0007800	-	-	-	-	-	-	-	
PYYM_0007900	-	-	-	-	-	-	-	
PYYM_0008000	-	-	-	-	-	-	-	
PYYM_0008100	-	-	-	-	-	-	-	
PYYM_0008200	-	-	-	-	-	-	-	
PYYM_0008400	-	-	-	-	-	-	-	
PYYM_0008500	-	-	-	-	-	-	-	
PYYM_0008700	-	-	-	-	-	-	-	
PYYM_0009000	-	-	-	-	-	-	-	
PYYM_0009200	-	-	-	-	-	-	-	
PYYM_0009300	-	-	-	-	-	-	-	
PYYM_0009400	-	-	-	-	-	-	-	
PYYM_0009500	-	-	-	-	-	-	-	
PYYM_0009600	-	-	-	-	-	-	-	
PYYM_0009700	-	-	-	-	-	-	-	
PYYM_0009800	-	-	-	-	-	-	-	
PYYM_0009900	-	-	-	-	-	-	-	
PYYM_0010000	-	-	-	-	-	-	-	
PYYM_0010100	-	-	-	-	-	-	-	
PYYM_0010200	-	-	-	-	-	-	-	
PYYM_0010300	-	-	-	-	-	-	-	
PYYM_0010400	-	-	-	-	-	-	-	
PYYM_0010500	-	-	-	-	-	-	-	
PYYM_0010700	-	-	-	-	-	-	-	
PYYM_0010800	-	-	-	-	-	-	-	
PYYM_0010900	-	-	-	-	-	-	-	
PYYM_0011000	-	-	-	-	-	-	-	
PYYM_0011100	-	-	-	-	-	-	-	
PYYM_0011200	-	-	-	-	-	-	-	
PYYM_0011300	-	-	-	-	-	-	-	
PYYM_0011400	-	-	-	-	-	-	-	
PYYM_0011500	-	-	-	-	-	-	-	
PYYM_0011600	-	-	-	-	-	-	-	
PYYM_0011700	-	-	-	-	-	-	-	
PYYM_0011800	-	-	-	-	-	-	-	
PYYM_0011900	-	-	-	-	-	-	-	
PYYM_0012000	-	-	-	-	-	-	-	
PYYM_0012100	-	-	-	-	-	-	-	
PYYM_0012200	-	-	-	-	-	-	-	
PYYM_0012300	-	-	-	-	-	-	-	
PYYM_0012400	-	-	-	-	-	-	-	
PYYM_0012500	-	-	-	-	-	-	-	
PYYM_0012600	-	-	-	-	-	-	-	
PYYM_0012700	-	-	-	-	-	-	-	
PYYM_0012800	-	-	-	-	-	-	-	
PYYM_0012900	-	-	-	-	-	-	-	
PYYM_0013000	-	-	-	-	-	-	-	
PYYM_0013100	-	-	-	-	-	-	-	
PYYM_0013300	-	-	-	-	-	-	-	
PYYM_0013400	-	-	-	-	-	-	-	
PYYM_0013500	-	-	-	-	-	-	-	
PYYM_0013600	-	-	-	-	-	-	-	
PYYM_0013700	-	-	-	-	-	-	-	
PYYM_0013800	-	-	-	-	-	-	-	
PYYM_0013900	-	-	-	-	-	-	-	
PYYM_0014000	-	-	-	-	-	-	-	
PYYM_0014100	-	-	-	-	-	-	-	
PYYM_0014200	-	-	-	-	-	-	-	
PYYM_0014300	-	-	-	-	-	-	-	
PYYM_0014400	-	-	-	-	-	-	-	
PYYM_0014500	-	-	-	-	-	-	-	
PYYM_0014600	-	-	-	-	-	-	-	
PYYM_0014700	-	-	-	-	-	-	-	
PYYM_0014800	-	-	-	-	-	-	-	
PYYM_0014900	-	-	-	-	-	-	-	
PYYM_0015000	-	-	-	-	-	-	-	
PYYM_0015100	-	-	-	-	-	-	-	
PYYM_0015400	-	-	-	-	-	-	-	
PYYM_0015500	-	-	-	-	-	-	-	
PYYM_0015700	-	-	-	-	-	-	-	
PYYM_0015800	-	-	-	-	-	-	-	
PYYM_0015900	-	-	-	-	-	-	-	
PYYM_0016600	-	-	-	-	-	-	-	
PYYM_0016700	-	-	-	-	-	-	-	
PYYM_0016800	-	-	-	-	-	-	-	
PYYM_0016900	-	-	-	-	-	-	-	
PYYM_0017000	-	-	-	-	-	-	-	
PYYM_0017100	-	-	-	-	-	-	-	
PYYM_0017200	-	-	-	-	-	-	-	
PYYM_0017300	-	-	-	-	-	-	-	
PYYM_0017400	-	-	-	-	-	-	-	
PYYM_0017500	-	-	-	-	-	-	-	
PYYM_0017700	-	-	-	-	-	-	-	
PYYM_0017800	-	-	-	-	-	-	-	
PYYM_0017900	-	-	-	-	-	-	-	
PYYM_0018000	-	-	-	-	-	-	-	
PYYM_0018100	-	-	-	-	-	-	-	
PYYM_0018200	-	-	-	-	-	-	-	
PYYM_0018300	-	-	-	-	-	-	-	
PYYM_0018400	-	-	-	-	-	-	-	
PYYM_0018500	-	-	-	-	-	-	-	
PYYM_0018600	-	-	-	-	-	-	-	
PYYM_0018700	-	-	-	-	-	-	-	
PYYM_0018800	-	-	-	-	-	-	-	
PYYM_0018900	-	-	-	-	-	-	-	
PYYM_0019000	-	-	-	-	-	-	-	
PYYM_0019100	-	-	-	-	-	-	-	
PYYM_0019600	-	-	-	-	-	-	-	
PYYM_0019700	-	-	-	-	-	-	-	
PYYM_0019800	-	-	-	-	-	-	-	
PYYM_0020200	-	-	-	-	-	-	-	
PYYM_0020400	-	-	-	-	-	-	-	
PYYM_0020500	-	-	-	-	-	-	-	
PYYM_0020700	-	-	-	-	-	-	-	
PYYM_0020800	-	-	-	-	-	-	-	
PYYM_0020900	-	-	-	-	-	-	-	
PYYM_0021000	-	-	-	-	-	-	-	
PYYM_0021100	-	-	-	-	-	-	-	
PYYM_0021200	-	-	-	-	-	-	-	
PYYM_0021300	-	-	-	-	-	-	-	
PYYM_0021400	-	-	-	-	-	-	-	
PYYM_0021500	-	-	-	-	-	-	-	
PYYM_0021600	-	-	-	-	-	-	-	
PYYM_0021700	-	-	-	-	-	-	-	
PYYM_0021800	-	-	-	-	-	-	-	
PYYM_0021900	-	-	-	-	-	-	-	
PYYM_0022000	-	-	-	-	-	-	-	
PYYM_0022100	-	-	-	-	-	-	-	
PYYM_0022200	-	-	-	-	-	-	-	
PYYM_0022300	-	-	-	-	-	-	-	
PYYM_0022400	-	-	-	-	-	-	-	
PYYM_0022500	-	-	-	-	-	-	-	
PYYM_0022600	-	-	-	-	-	-	-	
PYYM_0022700	-	-	-	-	-	-	-	
PYYM_0022800	-	-	-	-	-	-	-	
PYYM_0022900	-	-	-	-	-	-	-	
PYYM_0023000	-	-	-	-	-	-	-	
PYYM_0023100	-	-	-	-	-	-	-	
PYYM_0023200	-	-	-	-	-	-	-	
PYYM_0023300	-	-	-	-	-	-	-	
PYYM_0023400	-	-	-	-	-	-	-	
PYYM_0023500	-	-	-	-	-	-	-	
PYYM_0023600	-	-	-	-	-	-	-	
PYYM_0023700	-	-	-	-	-	-	-	
PYYM_0023800	-	-	-	-	-	-	-	
PYYM_0023900	-	-	-	-	-	-	-	
PYYM_0024000	-	-	-	-	-	-	-	
PYYM_0024100	-	-	-	-	-	-	-	
PYYM_0024200	-	-	-	-	-	-	-	
PYYM_0024300	-	-	-	-	-	-	-	
PYYM_0024400	-	-	-	-	-	-	-	
PYYM_0024500	-	-	-	-	-	-	-	
PYYM_0024600	-	-	-	-	-	-	-	
PYYM_0024700	-	-	-	-	-	-	-	
PYYM_0024800	-	-	-	-	-	-	-	
PYYM_0025000	-	-	-	-	-	-	-	
PYYM_0025100	-	-	-	-	-	-	-	
PYYM_0025400	-	-	-	-	-	-	-	
PYYM_0025500	-	-	-	-	-	-	-	
PYYM_0025700	-	-	-	-	-	-	-	
PYYM_0025800	-	-	-	-	-	-	-	
PYYM_0025900	-	-	-	-	-	-	-	
PYYM_0026000	-	-	-	-	-	-	-	
PYYM_0026100	-	-	-	-	-	-	-	
PYYM_0026200	-	-	-	-	-	-	-	
PYYM_0026300	-	-	-	-	-	-	-	
PYYM_0026400	-	-	-	-	-	-	-	
PYYM_0026500	-	-	-	-	-	-	-	
PYYM_0026600	-	-	-	-	-	-	-	
PYYM_0026700	-	-	-	-	-	-	-	
PYYM_0026800	-	-	-	-	-	-	-	
PYYM_0026900	-	-	-	-	-	-	-	
PYYM_0027000	-	-	-	-	-	-	-	
PYYM_0027100	-	-	-	-	-	-	-	
PYYM_0027200	-	-	-	-	-	-	-	
PYYM_0027300	-	-	-	-	-	-	-	
PYYM_0027400	-	-	-	-	-	-	-	
PYYM_0027500	-	-	-	-	-	-	-	
PYYM_0027600	-	-	-	-	-	-	-	
PYYM_0027700	-	-	-	-	-	-	-	
PYYM_0027800	-	-	-	-	-	-	-	
PYYM_0027900	-	-	-	-	-	-	-	
PYYM_0028000	-	-	-	-	-	-	-	
PYYM_0028100	-	-	-	-	-	-	-	
PYYM_0028200	-	-	-	-	-	-	-	
PYYM_0028300	-	-	-	-	-	-	-	
PYYM_0028400	-	-	-	-	-	-	-	
PYYM_0028500	-	-	-	-	-	-	-	
